Product_Collection,Vertical_Segment,Processor_Number,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,,,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-4669V4,$7,7,22,44,2.20 GHz,3.00 GHz,55 MB,9.6 GT/s QPI,135 W,No,Yes,1.54 TB,DDR4,4,68 GB/s,Yes,3,x4, x8, x16,40,90,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2603V3,$213.00 - $217.00,6,6,1.60 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,No,Yes,768 GB,DDR4 1600,4,51 GB/s,Yes,3,x4, x8, x16,40,72.8Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2609V3,$306.00 ,6,6,1.90 GHz,,15 MB SmartCache,6.4 GT/s QPI,85 W,Yes,Yes,768 GB,DDR4 1600,4,51 GB/s,Yes,3,x4, x8, x16,40,70.9Â°C,No,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2620V3,$417.00 - $422.00,6,12,2.40 GHz,3.20 GHz,15 MB SmartCache,8 GT/s QPI,85 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,72.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2623V3,$444.00 ,4,8,3.00 GHz,3.50 GHz,10 MB SmartCache,8 GT/s QPI,105 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,80.2Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2630V3,$667.00 - $671.00,8,16,2.40 GHz,3.20 GHz,20 MB SmartCache,8 GT/s QPI,85 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,72.1Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2630LV3,$612.00 ,8,16,1.80 GHz,2.90 GHz,20 MB SmartCache,8 GT/s QPI,55 W,No,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,60.4Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2637V3,$996.00 ,4,8,3.50 GHz,3.70 GHz,15 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,76.6Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2640V3,$939.00 - $944.00,8,16,2.60 GHz,3.40 GHz,20 MB SmartCache,8 GT/s QPI,90 W,Yes,Yes,768 GB,DDR4 1600/1866,4,59 GB/s,Yes,3,x4, x8, x16,40,74.3Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,,
Intel Xeon Processor E3 v3 Family,Server,E5-2643V3,$1,552,6,12,3.40 GHz,3.70 GHz,20 MB SmartCache,9.6 GT/s QPI,135 W,No,Yes,768 GB,DDR4 1600/1866/2133,4,68 GB/s,Yes,3,x4, x8, x16,40,77.3Â°C,Yes,Yes,Yes,64-bit,AVX 2.0,Yes,Yes,Yes,Yes,,,
